playlistnumber,songname,id,artistname,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
0,Sham,5Q58RkKyUafm15Syxg79DW,Amit Trivedi,0.827,0.722,284627,0.288,1.06E-05,4,0.12,-10.767,1,0.0444,119.899,0.502
0,Pani Da Rang (Male),44gvSP8Kpx6P7VSRHL9dN8,Ayushmann Khurrana,0.172,0.672,239333,0.67,0.000198,4,0.197,-7.257,0,0.0315,98.032,0.533
0,Kabira,4bD9z9qa4qg9BhryvYWB7c,Rekha Bhardwaj,0.481,0.59,223460,0.555,0,2,0.192,-6.852,1,0.0271,84.032,0.191
0,"Dooriyan (From ""Love Aaj Kal"")",4peiaLdhDgUgQ646Gpbvh3,Mohit Chauhan,0.611,0.517,337360,0.716,0,7,0.11,-6.582,0,0.0509,122.952,0.594
0,Abhi Mujh Mein Kahin,73y649QhnXdcm6fRdvfraO,Sonu Nigam,0.755,0.334,364787,0.387,3.94E-05,2,0.113,-9.483,1,0.0332,129.959,0.42
0,Kabhi Kabhi Aditi,3APdIdF8H0jsxSuGOqXedS,Rashid Ali,0.276,0.791,218836,0.558,0,7,0.0859,-7.155,0,0.0661,95.077,0.872
0,Kahin To,3E424W0IJS3ypZ4YOxE0Jn,Rashid Ali,0.334,0.61,303206,0.492,6.30E-06,10,0.0979,-7.55,1,0.0261,90.984,0.165
0,Uff Teri Adaa,0og9wKFGgFFNQnrBe7eisG,Shankar Mahadevan,0.00536,0.647,304089,0.792,5.82E-05,2,0.054,-9.815,1,0.0373,132.032,0.306
0,"Twist (From ""Love Aaj Kal"")",2W94YEMyahGhIrsjx35dVQ,Neeraj Shridhar,0.0393,0.721,299440,0.944,5.86E-05,7,0.0747,-4.995,1,0.142,109.014,0.728
0,Dus Bahane,1vBmaijoCBoqmwc3zs5n3s,KK,0.175,0.833,206947,0.917,1.92E-06,7,0.109,-5.498,1,0.0597,110.001,0.874
0,"Ilahi (From ""Yeh Jawaani Hai Deewani"")",0VxgNsSywsjapKGXvzj8RH,Arijit Singh,0.166,0.594,228982,0.967,2.54E-05,9,0.105,-5.767,1,0.0857,132.009,0.452
0,Bahara,1gwO79MdYdumgIjxq8eCxB,Shreya Ghoshal,0.0718,0.456,325707,0.739,7.24E-06,5,0.134,-6.733,1,0.0402,85.773,0.72
0,Tum Mile,1EjxJHY9A6LMOlvyZdwDly,Pritam,0.319,0.738,343787,0.799,4.89E-06,0,0.31,-6.663,1,0.0334,123.011,0.794
0,Na Ja,32LKwbmh6yVsWoRRF8DIvf,Pav Dharia,0.0724,0.772,208000,0.649,0,2,0.0761,-6.411,1,0.143,90.072,0.824
0,Offo,3f26GAn3yOXfoclLyN8AdD,Aditi Singh Sharma,0.0158,0.799,213942,0.609,0,3,0.0642,-6.729,1,0.0448,130.031,0.758
0,Iktara,3jtKSUiVDowKNBqVQbWaig,Kavita Seth,0.401,0.616,253773,0.525,0.000484,7,0.309,-7.065,1,0.0258,79.976,0.427
0,Agar Tum Saath Ho,70W29IwaPMRo86tCan6tqI,Arijit Singh,0.551,0.558,341185,0.521,0.000212,3,0.189,-8.798,1,0.0333,122.925,0.409
0,Jab Mila Tu,6Sp7azay1NZU4wxlFacWCl,Vishal-Shekhar,0.0482,0.626,251853,0.561,0,9,0.304,-6.644,0,0.0304,167.916,0.794
0,Hawayein,0l6g8Z8mqGbGXFOjigYetD,Arijit Singh,0.795,0.606,289999,0.601,0.000522,2,0.127,-5.576,1,0.0283,125.964,0.453
0,Bezubaan,2ota18jyZVMGvwQ0IV8qz7,Sachin-Jigar,0.0286,0.416,282840,0.573,2.06E-06,1,0.11,-8.264,1,0.066,102.041,0.163
0,Adhoore,298atiKYvG84VfbXNbZiX5,Vishal Dadlani,0.0858,0.799,264210,0.542,1.50E-06,0,0.126,-7.142,1,0.0308,107.993,0.673
0,Tune Jo Na Kaha,0pw3p4gf5homOkvOGOJulF,Mohit Chauhan,0.779,0.314,310073,0.475,0.00539,5,0.34,-12.38,1,0.0838,78.992,0.312
0,"Raabta (From ""Agent Vinod"")",6tzckBcK66LzeSA1Opnv35,Arijit Singh,0.7,0.657,243578,0.581,1.75E-05,0,0.116,-8.108,1,0.0298,118.038,0.32
0,"Tera Ban Jaunga (From ""Kabir Singh"")",4OcvkkpF3xmyCGGY5IBlgi,Akhil Sachdeva,0.822,0.605,236437,0.53,0,11,0.131,-6.346,1,0.0246,93.951,0.399
0,Dil Mere,6ZmtxXUXRVjxOhugKkmerC,The Local Train,0.842,0.655,211290,0.473,0.0323,8,0.167,-9.806,1,0.0267,92.962,0.572
0,Aaoge Tum Kabhi,5VSJ9OfZx8V91A7u8Fuoh1,The Local Train,0.0152,0.534,313163,0.863,0.0167,0,0.144,-4.616,1,0.0357,98.006,0.374
0,Tune Kaha,1gWtHDe403RuyZqhvSRcv8,Prateek Kuhad,0.015,0.362,216886,0.763,0.00481,3,0.237,-8.514,1,0.0589,187.291,0.431
0,Aye Khuda,1vgVsR5rkXGP4NmUcoroJH,Salim Merchant,0.549,0.656,280497,0.762,0,9,0.139,-6.328,1,0.0315,110.002,0.558
0,Kaam 25 - Sacred Games,6Kynli1iHBqJRWUCohcV9h,DIVINE,0.0473,0.484,149525,0.948,0,1,0.0565,-4.296,0,0.451,125.645,0.686
0,Tujhe Kitna Chahne Lage,5QtEFRYavs5S3GHtFEq7A4,Arijit Singh,0.736,0.427,284780,0.396,0,11,0.11,-7.556,1,0.0366,70.368,0.306
0,Soch Na Sake,6mTvwBzWTGDOVeCNQEqtOE,Arijit Singh,0.597,0.505,281323,0.667,0,9,0.213,-5.797,1,0.0323,151.728,0.516
0,Baatein Kuch Ankahee,5arambGXhSW6TZUR9L0tSw,Pritam,0.156,0.658,275413,0.536,2.80E-06,0,0.176,-7.605,1,0.0277,121.957,0.237
0,Locha-E-Ulfat,0LIdJDwGEJUDruEycKBK80,Benny Dayal,0.0365,0.705,288462,0.74,0,0,0.487,-5.82,1,0.0505,106.953,0.928
0,Apna Time Aayega,5uaIbU3oHHcSOK6WFNK5nj,Ranveer Singh,0.0187,0.766,140463,0.618,0.000115,11,0.181,-8.552,0,0.124,95.054,0.513
0,Tumse Hi Tumse,6qNyL8lZuqFmy9ginJRQOZ,Shekhar Ravjiani,0.0981,0.7,261559,0.526,0.471,0,0.102,-6.246,1,0.0355,92.015,0.774
0,"Kaise Hua (From ""Kabir Singh"")",1y1rQTkWmrZdJmjwuK07GC,Vishal Mishra,0.452,0.385,234722,0.464,0,2,0.109,-6.975,1,0.0404,137.839,0.15
0,"Bekhayali (From ""Kabir Singh"")",1feANd8EfcDP5UqSvbheM3,Sachet Tandon,0.45,0.308,371791,0.585,0,9,0.319,-5.18,0,0.0428,171.843,0.345
0,"Guzarish (From ""Ghajini"")",39bHz64P8EIGXnoPfpYnUE,Javed Ali,0.0925,0.595,327030,0.624,0,9,0.114,-10.943,0,0.0603,170.001,0.647
0,Naina Da Kya Kasoor,4JQxGJ8jsKW8pOUVoAgOZr,Amit Trivedi,0.159,0.845,210952,0.659,0.0129,9,0.0782,-6.348,1,0.0373,125.965,0.547
0,Khuda Jaane,0gPgdRfB4jdGrlyXS0Vx78,KK,0.391,0.382,333584,0.632,0.000486,8,0.0922,-6.393,1,0.0411,78.936,0.716
0,Bin Tere,3bZPdEskcnMdepwCaDSJRl,Shafqat Amanat Ali,0.42,0.585,330360,0.698,3.59E-06,9,0.363,-6.261,1,0.0392,139.831,0.621
0,Tum Se Hi,7eQl3Yqv35ioqUfveKHitE,Mohit Chauhan,0.328,0.609,321225,0.538,0,6,0.125,-7.842,1,0.0273,130.007,0.608
0,Udd Gaye - Bacardi House Party Sessions,6wZJsut8fjiWiMPaccRAOX,Ritviz,0.000712,0.595,180414,0.818,0.0386,11,0.142,-6.189,0,0.0479,144.956,0.48
0,In Dino,6YycppSAeGtSvwmu8qCcr2,Pritam,0.513,0.406,397027,0.633,0,0,0.116,-6.989,1,0.0379,101.436,0.344
0,"Ajj Din Chadheya (From ""Love Aaj Kal "")",6lHBOxVVbjkmByOjHRC2bA,Rahat Fateh Ali Khan,0.551,0.585,315013,0.687,6.70E-06,9,0.121,-4.553,1,0.0724,85.871,0.815
0,Tujh Mein Rab Dikhta Hai,2LcXJP95e4HKydTZ2mYfrx,Roop Kumar Rathod,0.315,0.56,281574,0.604,1.12E-06,8,0.176,-8.732,1,0.0866,84.784,0.75
0,Socha Hai,7IjnfuMNfdrAXbefurdIIR,Farhan Akhtar,0.722,0.593,246132,0.773,0,2,0.117,-5.591,1,0.0339,133.975,0.561
0,Daryaa,3ExeNEpJJQXfmq1cwj0LVo,Shahid Mallya,0.148,0.565,261918,0.527,2.30E-06,8,0.103,-5.035,1,0.0252,91.989,0.231
0,Makhna,0ZHILXmUaVSLEOCWxPQ1ga,Tanishk Bagchi,0.167,0.696,183000,0.704,0,1,0.155,-7.876,1,0.0423,124.972,0.426
0,I Hate Luv Storys,4zUPL2OPTO3hgNhjaA1Rjn,Vishal-Shekhar,0.0688,0.747,285213,0.81,0.0405,11,0.0592,-8.352,0,0.0541,130.012,0.937
0,Tera Yaar Hoon Main,4ZTx87kAgEwlPMzoojFZWg,Arijit Singh,0.34,0.559,264806,0.541,4.66E-06,10,0.102,-5.525,1,0.0313,83.978,0.309
0,Dildaara (Stand By Me),6ZoCBDOB308GqUdt2AJrV2,Shafqat Amanat Ali,0.102,0.622,249661,0.779,0.000934,9,0.145,-5.799,1,0.037,100.013,0.761
