,playlistnumber,songname,id,artistname,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,index,acousticness_scaled,danceability_scaled,duration_ms_scaled,energy_scaled,instrumentalness_scaled,key_scaled,liveness_scaled,loudness_scaled,mode_scaled,speechiness_scaled,tempo_scaled,valence_scaled
0,0,Jigar Da Tukda,73s6UhNKUFlAxB0Rd0J66W,Salim Merchant,0.31,0.742,254511,0.943,0.000374,4,0.0188,-3.726,0,0.0421,130.02,0.881,1,0.035544744,0.497575124,-0.185959572,1.345339681,-0.160791513,-0.407417381,-1.103564885,1.262855963,-1.417641964,-0.521539091,0.557254105,1.171821981
1,0,Jiya Re,21Af1fetSINZpmAS3si8DW,Neeti Mohan,0.049,0.712,319216,0.718,2.02E-05,11,0.128,-8.286,0,0.0444,106.012,0.59,2,-1.024177557,0.279679533,0.813530075,0.004613252,-0.170127866,1.552883545,-0.320026039,-0.707272926,-1.417641964,-0.491960166,-0.416066123,-0.185199338
2,0,Baatein Kuch Ankahee,5arambGXhSW6TZUR9L0tSw,Pritam,0.156,0.658,275413,0.536,2.80E-06,0,0.176,-7.605,1,0.0277,121.957,0.237,3,-0.589732016,-0.112532529,0.13691088,-1.079885459,-0.170587031,-1.527589339,0.02438664,-0.41304973,0.705396726,-0.706728882,0.230368025,-1.831345474
3,0,Phir Milenge Chalte Chalte,00slEv0AYGnW85H84XsmGz,Sonu Nigam,0.178,0.778,394162,0.737,6.83E-06,0,0.0632,-7.073,1,0.195,125.031,0.9,4,-0.500406764,0.759049832,1.971211104,0.117830151,-0.170480684,-1.527589339,-0.784983156,-0.18320136,0.705396726,1.444816403,0.354992583,1.260424748
4,0,Locha-E-Ulfat,0LIdJDwGEJUDruEycKBK80,Benny Dayal,0.0365,0.705,288462,0.74,0,0,0.487,-5.82,1,0.0505,106.953,0.928,5,-1.074930541,0.228837229,0.338477071,0.135706503,-0.170660919,-1.527589339,2.25589379,0.358152039,0.705396726,-0.413511712,-0.377916576,1.390997246
5,0,Malang,65bMbbRjIlGyJBgQRi6Qvv,Shilpa Rao,0.172,0.514,273737,0.873,0,4,0.482,-7.76,0,0.139,173.03,0.583,6,-0.524768197,-1.158431362,0.111021928,0.928224792,-0.170660919,-0.407417381,2.220017469,-0.480016831,-1.417641964,0.724633881,2.300943833,-0.217842462
6,0,"Kaun Nachdi (From ""Sonu Ke Titu Ki Sweety"")",3s7m0jmCXGcM8tmlvjCvAa,Guru Randhawa,0.0357,0.772,183373,0.83,0,4,0.0419,-3.981,0,0.0455,127.999,0.753,7,-1.078178732,0.715470714,-1.284818925,0.671997075,-0.170660919,-0.407417381,-0.937816283,1.152684281,-1.417641964,-0.477813723,0.475319742,0.574919133
7,1,"Yaar Naa Miley (From ""Kick"")",0qzuXwxORXTwSsBU2aJGj5,Jasmine Sandlas,0.0102,0.663,243206,0.938,9.01E-06,0,0.75,-2.894,0,0.0335,127.988,0.551,8,-1.181714818,-0.076216597,-0.360586424,1.315545761,-0.170423156,-1.527589339,4.142988262,1.622318076,-1.417641964,-0.632138549,0.474873786,-0.367068175
8,1,"Allah Maaf Kare (From ""Desi Boyz"")",7lHeB9lvi5iCDFulhlSImX,Sonu Nigam,0.182,0.664,230165,0.789,0.000414,6,0.106,-5.293,1,0.0284,139.963,0.852,9,-0.48416581,-0.068953411,-0.56202904,0.427686925,-0.159735962,0.152668597,-0.477881851,0.58584018,0.705396726,-0.697726601,0.960358196,1.03658618
9,1,Offo,3f26GAn3yOXfoclLyN8AdD,Aditi Singh Sharma,0.0158,0.799,213942,0.609,0,3,0.0642,-6.729,1,0.0448,130.031,0.758,10,-1.158977482,0.911576745,-0.812623592,-0.644894218,-0.170660919,-0.687460371,-0.777807892,-0.034577602,0.705396726,-0.486816005,0.557700061,0.598235651
10,1,"Dil Dhadakne Do (From ""Dil Dhadakne Do"")",5KeTlCr0vFeNZwpc4T0hVN,Farhan Akhtar,0.0211,0.683,228375,0.881,0,10,0.114,-3.943,0,0.0858,159.942,0.792,11,-1.137458217,0.069047129,-0.589678935,0.975895065,-0.170660919,1.272840555,-0.420479738,1.169102022,-1.417641964,0.040460485,1.770336738,0.75678797
11,1,Jagga Jiteya,2kLFzLJgHtreNbNlbVzQy4,Shashwat Sachdev,0.0173,0.774,191489,0.783,0,0,0.19,-4.247,1,0.0857,93.959,0.206,12,-1.152887124,0.729997086,-1.159452138,0.391934221,-0.170660919,-1.527589339,0.124840338,1.037760096,0.705396726,0.039174444,-0.90471277,-1.975907883
12,1,Challa,2r6UZZ1JdRsDlfIQHKDjST,Shashwat Sachdev,0.105,0.762,207781,0.718,1.93E-06,1,0.118,-5.039,1,0.12,98.019,0.718,13,-0.79680419,0.64283885,-0.907791751,0.004613252,-0.170609989,-1.24754635,-0.391778681,0.695579816,0.705396726,0.480286239,-0.740114298,0.41170351
13,1,Maahi Ve,1sbW5E7w8tnqpYk0Frx8QG,A.R. Rahman,0.571,0.604,240784,0.72,1.18E-05,5,0.12,-7.276,1,0.0603,130.995,0.528,14,1.095267045,-0.504744591,-0.39799874,0.01653082,-0.170349532,-0.127374392,-0.377428153,-0.270906659,0.705396726,-0.287479771,0.596782063,-0.474324155
14,1,Iktara,3jtKSUiVDowKNBqVQbWaig,Kavita Seth,0.401,0.616,253773,0.525,0.000484,7,0.309,-7.065,1,0.0258,79.976,0.427,15,0.405026466,-0.417586355,-0.197359361,-1.145432085,-0.157888747,0.432711587,0.978696772,-0.179744994,0.705396726,-0.731163646,-1.471604504,-0.945317809
15,1,Kya Karoon?,4Yp8zw7b35bheMVTp39o5O,Shankar-Ehsaan-Loy,0.611,0.594,236160,0.548,0.00146,9,0.117,-7.588,0,0.0267,98.014,0.374,16,1.257676593,-0.577376455,-0.469425061,-1.00838005,-0.132133291,0.992797566,-0.398953945,-0.405704952,-1.417641964,-0.719589284,-0.740317005,-1.192472895
16,1,Jiyo Re Bahubali,29bUoxq3BOASHIdHCH7JGm,Daler Mehndi,0.537,0.773,209036,0.818,1.77E-06,7,0.181,-7.55,0,0.048,110.023,0.707,17,0.957218929,0.7227339,-0.888405931,0.600491665,-0.170614211,0.432711587,0.06026296,-0.389287211,-1.417641964,-0.445662718,-0.253454184,0.360407172
